Lat	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	FALL	FALL	FALL	FALL	FALL	FALL	FALL	FALL	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1
-1.25	67	329	353	356	356	356	363	363	207	143	93	124	124	124	187	187	0	2	2	2	2	2	2	2
-1.75	48	314	353	355	355	355	354	354	187	139	95	124	124	124	177	177	0	2	2	2	2	2	2	2
-2.25	48	297	351	355	355	355	345	345	187	135	97	124	124	124	164	164	0	2	2	2	2	2	2	2
-2.75	33	293	349	351	351	351	336	336	162	131	98	123	123	123	152	152	0	2	2	2	2	2	2	2
-3.25	26	289	347	347	347	347	327	327	151	119	100	122	122	122	142	142	0	2	2	2	2	2	2	2
-3.75	26	285	347	345	345	345	323	323	151	108	102	121	121	121	132	132	0	2	2	2	2	2	2	2
-4.25	26	281	345	343	343	343	320	320	151	106	104	120	120	120	123	123	0	2	2	2	2	2	2	2
-4.75	362	278	344	341	341	341	320	320	133	104	107	119	119	119	122	122	2	2	2	2	2	2	2	2
-5.25	362	271	347	343	343	343	318	318	133	102	110	119	119	119	122	122	2	2	2	2	2	2	2	2
-5.75	355	265	348	339	339	339	316	316	131	97	112	120	120	120	118	118	2	2	2	2	2	2	2	2
-6.25	349	260	349	338	338	338	316	316	131	92	109	117	117	117	116	116	2	2	2	2	2	2	2	2
-6.75	349	257	350	338	338	338	316	316	131	89	111	115	115	115	114	114	2	2	2	2	2	2	2	2
-7.25	349	255	349	337	337	337	316	316	131	86	109	113	113	113	112	112	2	2	2	2	2	2	2	2
-7.75	344	253	346	334	334	334	315	315	127	84	107	111	111	111	110	110	2	2	2	2	2	2	2	2
-8.25	344	254	342	331	331	331	315	315	127	81	107	110	110	110	106	106	2	2	2	2	2	2	2	2
-8.75	343	254	339	327	327	327	314	314	125	78	106	108	108	108	105	105	2	2	2	2	2	2	2	2
-9.25	343	254	335	324	324	324	313	313	125	76	103	106	106	106	103	103	2	2	2	2	2	2	2	2
-9.75	343	255	331	321	321	321	311	311	125	74	101	104	104	104	98	98	2	2	2	2	2	2	2	2
-10.25	337	255	327	318	318	318	311	311	118	72	99	102	102	102	95	95	2	2	2	2	2	2	2	2
-10.75	333	258	323	315	315	315	311	311	112	71	97	101	101	101	92	92	2	2	2	2	2	2	2	2
-11.25	333	262	321	313	313	313	310	310	112	71	96	99	99	99	90	90	2	2	2	2	2	2	2	2
-11.75	328	266	319	311	311	311	309	309	104	72	95	98	98	98	89	89	2	2	2	2	2	2	2	2
-12.25	328	269	317	310	310	310	308	308	104	72	94	97	97	97	87	87	2	2	2	2	2	2	2	2
-12.75	328	272	316	309	309	309	307	307	104	72	94	96	96	96	85	85	2	2	2	2	2	2	2	2
-13.25	326	275	316	309	309	309	306	306	105	72	94	95	95	95	83	83	2	2	2	2	2	2	2	2
-13.75	321	277	317	311	311	311	305	305	97	73	93	94	94	94	80	80	2	2	2	2	2	2	2	2
-14.25	320	279	318	313	313	313	304	304	93	74	93	93	93	93	79	79	2	2	2	2	2	2	2	2
-14.75	320	282	321	316	316	316	303	303	93	75	92	93	93	93	78	78	2	2	2	2	2	2	2	2
-15.25	320	284	324	318	318	318	302	302	93	75	92	92	92	92	77	77	2	2	2	2	2	2	2	2
-15.75	320	287	328	321	321	321	301	301	93	76	92	91	91	91	76	76	2	2	2	2	2	2	2	2
-16.25	322	289	332	325	325	325	300	300	94	77	92	90	90	90	77	77	2	2	2	2	2	2	2	2
-16.75	325	292	337	329	329	329	298	298	96	78	91	90	90	90	77	77	2	2	2	2	2	2	2	2
-17.25	328	294	343	331	331	331	297	297	93	79	91	90	90	90	78	78	2	2	2	2	2	2	2	2
-17.75	329	296	348	333	333	333	296	296	97	80	91	90	90	90	79	79	2	2	2	2	2	2	2	2
-18.25	326	298	352	333	333	333	295	295	94	81	91	90	90	90	79	79	2	2	2	2	2	2	2	2
-18.75	327	299	357	333	333	333	294	294	92	82	93	90	90	90	80	80	2	2	2	2	2	2	2	2
-19.25	330	299	361	332	332	332	294	294	94	82	93	90	90	90	80	80	2	2	2	2	2	2	2	2
-19.75	330	298	364	331	331	331	294	294	99	82	94	90	90	90	80	80	2	2	2	2	2	2	2	2
-20.25	328	297	2	330	330	330	293	293	101	82	95	90	90	90	80	80	2	2	0	2	2	2	2	2
-20.75	328	296	5	330	330	330	292	292	101	82	96	90	90	90	80	80	2	2	0	2	2	2	2	2
-21.25	321	296	8	328	328	328	293	293	99	82	98	89	89	89	81	81	2	2	0	2	2	2	2	2
-21.75	321	295	11	325	325	325	292	292	96	82	101	89	89	89	82	82	2	2	0	2	2	2	2	2
-22.25	326	293	14	322	322	322	292	292	106	81	104	88	88	88	82	82	2	2	0	2	2	2	2	2
-22.75	326	292	17	319	319	319	292	292	106	81	107	88	88	88	82	82	2	2	0	2	2	2	2	2
-23.25	321	290	20	316	316	316	293	293	107	81	111	88	88	88	82	82	2	2	0	2	2	2	2	2
-23.75	320	289	23	313	313	313	291	291	108	81	114	89	89	89	82	82	2	2	0	2	2	2	2	2
-24.25	321	288	26	310	310	310	290	290	109	81	119	90	90	90	82	82	2	2	0	2	2	2	2	2
-24.75	313	286	29	307	307	307	289	289	104	80	125	90	90	90	82	82	2	2	0	2	2	2	2	2
-25.25	305	285	33	304	304	304	281	281	106	80	131	91	91	91	82	82	2	2	0	2	2	2	2	2
-25.75	291	283	37	301	301	301	274	274	106	80	138	91	91	91	81	81	2	2	0	2	2	2	2	2
-26.25	291	282	41	298	298	298	266	266	102	79	145	92	92	92	81	81	2	2	0	2	2	2	2	2
-26.75	289	281	47	296	296	296	257	257	105	79	154	93	93	93	81	81	2	2	0	2	2	2	2	2
-27.25	292	280	52	294	294	294	249	249	105	79	161	93	93	93	81	81	2	2	0	2	2	2	2	2
-27.75	292	279	58	292	292	292	241	241	105	79	169	93	93	93	81	81	2	2	0	2	2	2	2	2
-28.25	292	279	64	287	287	287	233	233	102	78	179	93	93	93	82	82	2	2	0	2	2	2	2	2
-28.75	292	278	70	286	286	286	225	225	102	78	188	94	94	94	83	83	2	2	0	2	2	2	2	2
-29.25	297	278	75	284	284	284	218	218	97	78	196	93	93	93	83	83	2	2	0	2	2	2	2	2
-29.75	290	277	79	281	281	281	210	210	96	77	204	93	93	93	82	82	2	2	0	2	2	2	2	2
-30.25	290	276	82	280	280	280	203	203	94	77	211	92	92	92	80	80	2	2	0	2	2	2	2	2
-30.75	285	275	85	280	280	280	196	196	90	77	216	91	91	91	83	83	2	2	0	2	2	2	2	2
-31.25	284	274	81	281	281	281	188	188	88	76	213	91	91	91	86	86	2	2	0	2	2	2	2	2
-31.75	282	273	75	280	280	280	180	180	85	76	212	90	90	90	83	83	2	2	0	2	2	2	2	2
-32.25	279	272	68	279	279	279	174	174	81	75	211	89	89	89	83	83	2	2	0	2	2	2	2	2
-32.75	273	270	61	276	276	276	173	173	77	73	208	88	88	88	83	83	2	2	0	2	2	2	2	2
-33.25	273	269	52	274	274	274	172	172	79	73	207	87	87	87	83	83	2	2	0	2	2	2	2	2
-33.75	274	269	41	271	271	271	177	177	73	73	199	82	82	82	83	83	2	2	0	2	2	2	2	2
-34.25	277	268	33	270	270	270	182	182	73	73	198	81	81	81	83	83	2	2	0	2	2	2	2	2
-34.75	270	267	23	262	262	262	187	187	69	72	197	79	79	79	83	83	2	2	0	2	2	2	2	2
-35.25	273	265	14	261	261	261	193	193	68	69	193	75	75	75	21	21	2	2	0	2	2	2	2	2
-35.75	272	264	7	261	261	261	194	194	68	64	191	74	74	74	21	21	2	2	0	2	2	2	2	2
-36.25	276	262	363	259	259	259	196	196	68	59	187	72	72	72	21	21	2	2	2	2	2	2	2	2
-36.75	272	259	347	262	262	262	198	198	68	58	181	70	70	70	21	21	2	2	2	2	2	2	2	2
-37.25	273	257	329	260	260	260	199	199	67	53	171	68	68	68	21	21	2	2	2	2	2	2	2	2
-37.75	270	255	310	258	258	258	199	199	69	48	160	61	61	61	21	21	2	2	2	2	2	2	2	2
-38.25	274	255	307	260	260	260	202	202	67	45	151	59	59	59	21	21	2	2	2	2	2	2	2	2
-38.75	273	253	304	260	260	260	202	202	67	43	141	58	58	58	14	14	2	2	2	2	2	2	2	2
-39.25	274	254	299	255	255	255	201	201	66	40	141	56	56	56	14	14	2	2	2	2	2	2	2	2
-39.75	275	253	293	250	250	250	205	205	65	38	136	53	53	53	14	14	2	2	2	2	2	2	2	2
-40.25	276	254	288	246	246	246	211	211	64	36	133	53	53	53	11	11	2	2	2	2	2	2	2	2
-40.75	277	255	285	245	245	245	217	217	64	34	128	53	53	53	11	11	2	2	2	2	2	2	2	2
-41.25	279	256	280	244	244	244	217	217	65	33	116	52	52	52	15	15	2	2	2	2	2	2	2	2
-41.75	280	256	278	244	244	244	217	217	62	34	108	52	52	52	18	18	2	2	2	2	2	2	2	2
-42.25	281	257	276	245	245	245	218	218	60	35	107	55	55	55	21	21	2	2	2	2	2	2	2	2
-42.75	281	258	272	247	247	247	220	220	60	36	107	56	56	56	27	27	2	2	2	2	2	2	2	2
-43.25	284	260	268	256	256	256	224	224	62	37	99	54	54	54	30	30	2	2	2	2	2	2	2	2
-43.75	282	262	263	258	258	258	229	229	62	38	83	55	55	55	35	35	2	2	2	2	2	2	2	2
-44.25	279	263	264	260	260	260	234	234	61	41	64	55	55	55	35	35	2	2	2	2	2	2	2	2
-44.75	274	266	265	263	263	263	237	237	59	44	64	53	53	53	39	39	2	2	2	2	2	2	2	2
-45.25	282	271	263	265	265	265	237	237	59	46	64	53	53	53	39	39	2	2	2	2	2	2	2	2
-45.75	280	276	263	265	265	265	244	244	59	50	56	53	53	53	39	39	2	2	2	2	2	2	2	2
